Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä - Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana
ti 1 tammi 2019 00:00;3;3;1;2;10;2;5;1;1;7;3;1;1;5;4;12;;1;;2
ti 1 tammi 2019 01:00;0;1;1;1;7;2;4;0;2;2;0;4;4;1;0;11;;3;;1
ti 1 tammi 2019 02:00;4;3;0;1;4;0;2;5;0;2;0;0;0;5;2;2;;0;;2
ti 1 tammi 2019 03:00;1;0;1;0;5;0;1;0;2;5;0;0;1;6;2;5;;5;;5
ti 1 tammi 2019 04:00;0;0;2;0;3;1;3;0;0;2;0;0;0;3;3;2;;1;;4
ti 1 tammi 2019 05:00;0;0;2;0;0;0;2;0;1;2;0;0;0;1;2;5;;2;;1
ti 1 tammi 2019 06:00;1;1;2;1;0;0;1;0;2;2;6;0;1;0;0;2;;4;;2
ti 1 tammi 2019 07:00;0;0;1;2;2;0;1;2;0;3;2;2;2;4;0;0;;0;;5
ti 1 tammi 2019 08:00;1;0;0;0;2;0;4;2;3;6;3;4;2;1;3;0;;1;;1
ti 1 tammi 2019 09:00;1;2;1;0;6;0;0;0;1;3;3;3;1;10;1;0;;3;;3
ti 1 tammi 2019 10:00;0;0;0;1;5;0;2;3;9;3;3;4;0;6;3;8;;11;;8
ti 1 tammi 2019 11:00;4;3;1;2;3;1;2;2;4;10;3;1;0;3;1;7;;5;;4
ti 1 tammi 2019 12:00;4;1;3;5;12;0;5;6;3;14;2;2;2;8;13;10;;5;;16
ti 1 tammi 2019 13:00;11;4;5;2;5;2;6;5;1;12;15;6;4;9;3;8;;3;;9
ti 1 tammi 2019 14:00;8;2;2;5;14;1;11;6;10;35;8;10;5;15;7;19;;6;;19
ti 1 tammi 2019 15:00;9;4;3;13;13;3;6;8;7;25;17;6;5;18;9;19;;12;;13
ti 1 tammi 2019 16:00;0;13;7;4;7;2;4;4;6;19;7;4;3;16;4;9;;7;;15
ti 1 tammi 2019 17:00;6;6;4;5;10;0;9;0;8;20;8;1;6;9;5;12;;6;;7
ti 1 tammi 2019 18:00;3;1;4;2;6;1;2;0;3;12;5;7;3;7;3;14;;4;;11
ti 1 tammi 2019 19:00;5;2;4;2;4;2;3;5;3;17;10;5;1;6;5;9;;6;;7
ti 1 tammi 2019 20:00;8;2;1;2;14;1;2;3;2;10;1;6;3;12;4;9;;1;;13
ti 1 tammi 2019 21:00;5;1;4;2;7;1;7;1;2;6;3;0;1;6;8;5;;5;;7
ti 1 tammi 2019 22:00;0;0;5;0;4;2;2;1;4;1;1;2;1;2;3;3;;3;;4
ti 1 tammi 2019 23:00;0;1;0;0;3;1;0;0;0;5;0;0;0;5;4;2;;0;;2
ke 2 tammi 2019 00:00;0;0;2;0;0;0;0;1;1;2;1;0;0;0;1;1;;2;;0
ke 2 tammi 2019 01:00;0;0;1;0;0;0;2;0;0;1;0;0;2;0;0;1;;0;;0
ke 2 tammi 2019 02:00;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;1;;0;;0
ke 2 tammi 2019 03:00;0;0;1;0;1;0;2;0;0;0;0;0;0;2;0;1;;0;;0
ke 2 tammi 2019 04:00;0;0;3;0;1;1;3;0;0;0;0;0;1;0;0;0;;1;;4
ke 2 tammi 2019 05:00;0;0;4;3;3;2;3;2;3;10;2;2;0;4;2;3;;4;1;7
ke 2 tammi 2019 06:00;9;1;18;10;15;1;15;11;23;26;15;9;5;9;10;6;;41;4;27
ke 2 tammi 2019 07:00;48;7;64;19;33;8;31;37;40;69;43;42;9;34;28;9;;64;10;66
ke 2 tammi 2019 08:00;51;14;50;39;31;11;33;47;47;92;45;51;14;83;29;11;;77;21;85
ke 2 tammi 2019 09:00;26;17;24;17;30;1;16;25;6;67;27;32;7;51;25;9;;24;13;66
ke 2 tammi 2019 10:00;11;9;8;6;16;3;11;7;5;21;10;4;3;13;14;6;;13;2;21
ke 2 tammi 2019 11:00;6;4;5;4;25;2;3;12;3;26;4;5;4;10;6;10;;9;8;11
ke 2 tammi 2019 12:00;7;2;12;7;16;0;9;6;5;15;14;5;5;23;16;13;;7;4;20
ke 2 tammi 2019 13:00;6;2;5;7;17;1;10;3;2;10;9;6;2;17;13;10;;9;3;15
ke 2 tammi 2019 14:00;5;7;9;10;17;5;2;8;5;33;8;11;8;25;19;19;;14;4;25
ke 2 tammi 2019 15:00;27;8;28;23;33;6;13;15;23;45;20;20;12;47;23;17;;40;6;46
ke 2 tammi 2019 16:00;45;23;61;36;47;8;35;36;24;83;39;43;14;40;45;16;;51;14;77
ke 2 tammi 2019 17:00;40;24;50;29;43;6;35;33;30;80;37;34;16;56;28;9;;55;16;74
ke 2 tammi 2019 18:00;11;11;24;10;32;5;15;9;11;58;26;23;7;39;29;15;;19;5;46
ke 2 tammi 2019 19:00;8;9;7;8;21;4;6;9;10;27;19;13;2;17;16;13;;11;7;23
ke 2 tammi 2019 20:00;8;2;8;7;19;4;13;4;4;14;15;14;3;18;6;4;;9;8;9
ke 2 tammi 2019 21:00;1;1;7;6;4;1;2;2;2;8;9;9;4;7;5;1;;7;8;17
ke 2 tammi 2019 22:00;3;1;5;3;2;1;1;0;1;9;2;2;0;10;1;2;;2;1;1
ke 2 tammi 2019 23:00;1;2;0;1;4;0;0;0;0;1;1;0;1;5;1;4;;0;2;2
to 3 tammi 2019 00:00;0;0;3;0;1;0;0;2;0;3;0;0;1;0;0;2;;3;1;0
to 3 tammi 2019 01:00;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;2;;0;0;1
to 3 tammi 2019 02:00;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;;0;0;0
to 3 tammi 2019 03:00;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;;2;3;0
to 3 tammi 2019 04:00;0;0;3;0;0;1;4;0;0;2;0;0;0;0;1;0;;2;0;1
to 3 tammi 2019 05:00;0;0;5;2;5;3;5;3;6;8;4;1;1;3;7;3;;3;0;6
to 3 tammi 2019 06:00;13;1;27;21;15;3;13;10;32;17;18;13;6;17;14;3;;48;9;32
to 3 tammi 2019 07:00;47;6;64;28;27;6;33;29;44;79;55;46;16;28;18;8;;71;18;59
to 3 tammi 2019 08:00;59;17;64;38;54;8;45;48;33;110;57;74;13;75;42;14;;77;13;95
to 3 tammi 2019 09:00;46;12;32;16;37;8;24;43;15;61;31;44;4;61;28;17;;29;8;65
to 3 tammi 2019 10:00;10;13;7;12;26;0;7;6;10;32;9;13;3;26;18;16;;17;4;28
to 3 tammi 2019 11:00;10;7;3;4;8;2;14;11;5;31;10;7;2;14;18;15;;10;7;25
to 3 tammi 2019 12:00;20;5;8;8;25;3;10;8;3;20;9;11;9;13;19;13;;13;8;16
to 3 tammi 2019 13:00;14;6;9;13;17;1;15;4;5;14;8;9;2;14;11;22;;16;3;21
to 3 tammi 2019 14:00;19;11;11;22;23;5;20;10;12;35;18;8;2;28;24;25;;21;3;34
to 3 tammi 2019 15:00;28;7;34;24;46;6;29;20;25;34;39;30;12;33;26;11;;49;9;58
to 3 tammi 2019 16:00;62;23;59;47;59;8;39;28;36;88;57;58;17;91;40;20;;75;13;84
to 3 tammi 2019 17:00;61;27;57;35;54;8;24;37;32;94;54;67;13;73;48;14;;62;9;88
to 3 tammi 2019 18:00;23;16;41;24;32;5;25;23;26;69;32;36;11;57;29;22;;30;14;53
to 3 tammi 2019 19:00;10;12;18;4;19;2;13;11;5;41;19;16;5;24;19;7;;14;10;30
to 3 tammi 2019 20:00;12;4;10;15;15;3;11;6;11;34;21;15;3;17;15;8;;14;6;19
to 3 tammi 2019 21:00;5;4;7;3;14;0;6;4;1;22;19;10;4;11;7;5;;9;12;13
to 3 tammi 2019 22:00;0;3;2;1;5;1;0;0;1;4;4;3;3;6;5;2;;6;4;5
to 3 tammi 2019 23:00;2;1;2;0;4;1;2;0;1;0;2;0;0;4;4;1;;0;0;2
pe 4 tammi 2019 00:00;0;1;0;1;1;0;2;0;1;1;0;1;0;2;2;2;;1;0;1
pe 4 tammi 2019 01:00;0;1;0;0;0;0;0;1;0;1;0;0;0;0;4;1;;1;0;0
pe 4 tammi 2019 02:00;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;;0;0;0
pe 4 tammi 2019 03:00;0;0;1;2;0;0;0;0;1;0;0;0;0;2;0;0;;1;2;1
pe 4 tammi 2019 04:00;0;0;2;0;1;3;2;0;0;0;3;0;1;0;3;0;;4;2;2
pe 4 tammi 2019 05:00;1;1;8;3;3;1;6;2;5;7;1;2;0;2;3;4;;6;3;6
pe 4 tammi 2019 06:00;11;1;23;13;16;4;11;18;25;22;14;11;4;20;6;4;;44;6;30
pe 4 tammi 2019 07:00;38;3;50;33;33;14;28;38;49;99;47;49;11;36;32;7;;68;25;58
pe 4 tammi 2019 08:00;56;19;74;35;41;7;27;50;41;141;52;73;11;71;26;10;;77;20;103
pe 4 tammi 2019 09:00;29;14;31;20;41;4;23;22;15;70;28;31;5;59;24;13;;30;15;70
pe 4 tammi 2019 10:00;13;7;4;7;27;1;13;19;8;39;15;19;6;27;19;18;;17;5;23
pe 4 tammi 2019 11:00;3;5;19;3;23;1;8;15;12;33;7;7;11;26;27;15;;18;6;23
pe 4 tammi 2019 12:00;8;11;5;19;13;4;13;4;4;30;5;5;4;28;21;17;;18;7;21
pe 4 tammi 2019 13:00;6;5;9;7;36;4;5;5;10;19;11;4;4;21;24;20;;14;2;22
pe 4 tammi 2019 14:00;23;3;19;19;35;2;10;13;16;31;11;8;11;48;26;19;;14;12;37
pe 4 tammi 2019 15:00;24;21;34;28;66;12;27;25;38;53;27;29;16;51;31;27;;54;10;65
pe 4 tammi 2019 16:00;60;15;49;34;56;9;31;33;34;101;49;62;17;79;36;20;;63;13;97
